ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5215016/5214160   29.419    0.000   29.427    0.000 {built-in method call}
        1    1.865    1.865   34.439   34.439 startGame.py:1(<module>)
   819005    0.616    0.000    2.190    0.000 Tkinter.py:2289(coords)
   251940    0.518    0.000    2.763    0.000 startGame.py:35(shift_tile)
  2197958    0.506    0.000    7.877    0.000 Tkinter.py:1017(update)
  2197959    0.478    0.000   21.389    0.000 Tkinter.py:1020(update_idletasks)
   819008    0.286    0.000    0.286    0.000 {map}
       20    0.228    0.011    0.228    0.011 {method 'resize' of 'ImagingCore' objects}
   819005    0.186    0.000    0.186    0.000 {built-in method splitlist}
      195    0.153    0.001    0.153    0.001 {method 'decode' of 'ImagingDecoder' objects}
   252098    0.056    0.000    0.056    0.000 {range}
       40    0.055    0.001    0.055    0.001 {method 'convert' of 'ImagingCore' objects}
        1    0.026    0.026    0.026    0.026 {_tkinter.create}
        1    0.003    0.003    0.007    0.007 Image.py:27(<module>)
    40/20    0.003    0.000    0.446    0.022 Image.py:1676(resize)
        1    0.003    0.003    0.006    0.006 FixTk.py:1(<module>)
      925    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:24(<module>)
       10    0.001    0.000    0.002    0.000 startGame.py:99(score_game)
       60    0.001    0.000    0.003    0.000 Tkinter.py:1231(_substitute)
        1    0.001    0.001    0.008    0.008 JpegImagePlugin.py:35(<module>)
       20    0.001    0.000    0.012    0.001 Image.py:344(preinit)
     1519    0.001    0.000    0.001    0.000 sre_parse.py:193(__next)
       40    0.001    0.000    0.159    0.004 ImageFile.py:128(load)
      660    0.001    0.000    0.001    0.000 Tkinter.py:1237(getint_event)
    52/11    0.001    0.000    0.003    0.000 sre_parse.py:395(_parse)
        1    0.001    0.001    0.005    0.005 fractions.py:4(<module>)
        1    0.001    0.001    0.007    0.007 Tkinter.py:31(<module>)
        2    0.001    0.000    0.001    0.000 collections.py:293(namedtuple)
        1    0.001    0.001    0.007    0.007 TiffImagePlugin.py:42(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
       21    0.001    0.000    0.001    0.000 {open}
        1    0.001    0.001    0.001    0.001 ImagePalette.py:19(<module>)
       60    0.001    0.000    0.006    0.000 startGame.py:61(action_button)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
      195    0.000    0.000    0.004    0.000 PngImagePlugin.py:584(load_read)
      275    0.000    0.000    0.001    0.000 PngImagePlugin.py:102(read)
       20    0.000    0.000    0.009    0.000 ImageTk.py:163(paste)
       60    0.000    0.000    0.001    0.000 Image.py:525(_new)
        1    0.000    0.000    0.003    0.003 decimal.py:116(<module>)
        1    0.000    0.000    0.000    0.000 ImageTk.py:28(<module>)
       20    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
    92/11    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
      275    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
     1394    0.000    0.000    0.001    0.000 sre_parse.py:212(get)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
       20    0.000    0.000    0.008    0.000 Tkinter.py:3298(__init__)
      278    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 {__import__}
      667    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       20    0.000    0.000    0.002    0.000 PngImagePlugin.py:516(_open)
       60    0.000    0.000    0.000    0.000 Tkinter.py:1183(nametowidget)
       61    0.000    0.000    0.012    0.000 Tkinter.py:1531(__call__)
        1    0.000    0.000    0.000    0.000 io.py:34(<module>)
       80    0.000    0.000    0.000    0.000 Image.py:505(__init__)
      121    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x661D5630}
3856/3813    0.000    0.000    0.000    0.000 {len}
      120    0.000    0.000    0.000    0.000 {built-in method getboolean}
       60    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
       20    0.000    0.000    0.017    0.001 ImageTk.py:97(__init__)
        1    0.000    0.000    0.000    0.000 FixTk.py:21(convert_path)
       40    0.000    0.000    0.056    0.001 Image.py:811(convert)
      355    0.000    0.000    0.000    0.000 _binary.py:75(i32be)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
      558    0.000    0.000    0.000    0.000 {isinstance}
       20    0.000    0.000    0.000    0.000 {PIL._imaging.new}
