ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2322522/2322006   18.036    0.000   18.040    0.000 {built-in method call}
        1    0.947    0.947   20.976   20.976 startGame.py:1(<module>)
   571210    0.430    0.000    1.554    0.000 Tkinter.py:2289(coords)
  1751218    0.368    0.000   17.569    0.000 Tkinter.py:1017(update)
   175720    0.356    0.000    1.909    0.000 startGame.py:35(shift_tile)
       20    0.229    0.011    0.229    0.011 {method 'resize' of 'ImagingCore' objects}
   571213    0.199    0.000    0.199    0.000 {map}
      195    0.153    0.001    0.153    0.001 {method 'decode' of 'ImagingDecoder' objects}
   571210    0.131    0.000    0.131    0.000 {built-in method splitlist}
       40    0.055    0.001    0.055    0.001 {method 'convert' of 'ImagingCore' objects}
        1    0.026    0.026    0.026    0.026 {_tkinter.create}
        1    0.003    0.003    0.006    0.006 FixTk.py:1(<module>)
    40/20    0.003    0.000    0.449    0.022 Image.py:1676(resize)
        1    0.003    0.003    0.007    0.007 Image.py:27(<module>)
      925    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:24(<module>)
        1    0.001    0.001    0.008    0.008 JpegImagePlugin.py:35(<module>)
       20    0.001    0.000    0.012    0.001 Image.py:344(preinit)
       40    0.001    0.000    0.160    0.004 ImageFile.py:128(load)
     1519    0.001    0.000    0.001    0.000 sre_parse.py:193(__next)
        6    0.001    0.000    0.001    0.000 startGame.py:100(score_game)
    52/11    0.001    0.000    0.003    0.000 sre_parse.py:395(_parse)
       36    0.001    0.000    0.002    0.000 Tkinter.py:1231(_substitute)
        1    0.001    0.001    0.007    0.007 Tkinter.py:31(<module>)
        1    0.001    0.001    0.005    0.005 fractions.py:4(<module>)
        1    0.001    0.001    0.007    0.007 TiffImagePlugin.py:42(<module>)
        2    0.001    0.000    0.001    0.000 collections.py:293(namedtuple)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
       21    0.001    0.000    0.001    0.000 {open}
      396    0.001    0.000    0.001    0.000 Tkinter.py:1237(getint_event)
        1    0.001    0.001    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
      195    0.000    0.000    0.004    0.000 PngImagePlugin.py:584(load_read)
       60    0.000    0.000    0.001    0.000 Image.py:525(_new)
      275    0.000    0.000    0.001    0.000 PngImagePlugin.py:102(read)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
       20    0.000    0.000    0.009    0.000 ImageTk.py:163(paste)
       20    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
     1394    0.000    0.000    0.001    0.000 sre_parse.py:212(get)
      275    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
    92/11    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.003    0.003 decimal.py:116(<module>)
      278    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 ImageTk.py:28(<module>)
       20    0.000    0.000    0.008    0.000 Tkinter.py:3298(__init__)
       36    0.000    0.000    0.003    0.000 startGame.py:61(action_button)
        2    0.000    0.000    0.000    0.000 {__import__}
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       80    0.000    0.000    0.000    0.000 Image.py:505(__init__)
       20    0.000    0.000    0.002    0.000 PngImagePlugin.py:516(_open)
      667    0.000    0.000    0.000    0.000 {getattr}
      121    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x661D5630}
        1    0.000    0.000    0.000    0.000 io.py:34(<module>)
       40    0.000    0.000    0.056    0.001 Image.py:811(convert)
3808/3765    0.000    0.000    0.000    0.000 {len}
      355    0.000    0.000    0.000    0.000 _binary.py:75(i32be)
       60    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
       20    0.000    0.000    0.000    0.000 {PIL._imaging.new}
